,AT,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,UK,EL,HR,HU,IE,IT,LT,LU,LV,ME,MK,NL,NO,PL,PT,RO,RS,SE,SI,SK
0,6460.511486984265,9508.107652687137,3516.175040238215,6501.973165501838,6610.34646944706,59629.6345424712,3696.9350525431582,759.975176170256,27857.816086840117,8038.949862404318,46694.23263706943,31362.185092316096,5098.779825918752,1817.5711933115372,4197.281999122462,2656.559841645426,35509.20393008288,1060.3857085477198,743.4421021338816,673.9398373683878,410.63410961933573,789.1510713356564,12041.892394640403,8324.688652283035,15125.741488562688,5644.612791602399,5643.191489805321,3930.6900009803044,12587.235881080685,1288.5783900508156,2978.384648207897
1,6671.757397916553,9808.232861950251,3576.4597405383483,6668.4210538298485,6736.631246837524,61663.260124326574,3775.0264740221764,773.5044917908674,28748.374350672606,8046.600132659276,48284.721135858126,32209.64980895866,5255.489751388499,1850.5005183465566,4328.622863648228,2744.2612825866036,37299.159612850526,1080.1955322301492,783.6070027807492,685.5356166966931,412.59655189316726,797.1151822562684,12285.021725038632,8332.805332303495,15715.82469277905,5811.396659682823,5816.276281987079,3965.599983652678,12583.505224738225,1342.207417736492,3048.485437329856
2,6683.390153836408,9868.873252738942,3604.516487107253,6674.510624175966,6761.452498639421,61872.707801705415,3776.8995963244693,774.9339982210779,28803.6476681628,8041.076261967766,48615.06992214618,32537.57045365202,5242.841528301153,1853.0674682352214,4358.223706522599,2776.996938232921,37419.333901009486,1082.0901261389108,772.541999149741,688.5600623732392,414.8255705567652,804.6921444525628,12317.995914581743,8354.042370443418,15816.928751538548,5840.007300671311,5830.257573710762,3992.0130027889836,12647.818717730532,1358.5103495578164,3058.5649815539687
3,6668.091292509171,9862.032665338293,3608.630875312293,6670.473976458944,6777.526229926033,61509.368216869756,3767.470840455147,777.2875102854866,28783.084025970573,8056.771016931516,48761.10888223372,32385.896023498302,5257.553203155378,1845.4291277717632,4368.7462006679125,2776.633747244133,37327.1250008767,1083.233128075167,778.1395799048273,691.2986399314165,413.70429712429655,805.6937703138965,12346.663254950421,8325.08672850234,15754.034615504677,5833.618165934267,5844.502936361511,3999.0104544626843,12618.072825673129,1363.6064531453183,3052.8318796083286
4,6524.1094092376,9720.548564340057,3567.2231464185875,6583.580168012204,6623.824144077606,60314.012228481035,3625.5413838634377,766.8599956988683,28433.571560340508,8093.219832882264,48023.348201295164,31466.136259922314,5215.714535823288,1840.879686373563,4321.139691157785,2733.489102272037,36957.410723195404,1069.5992144233726,790.4293254899399,680.7322911607994,411.9477335423063,800.1406560832436,12193.052483841468,8315.826433398292,15644.683738267227,5794.959473309541,5790.82943900128,3982.667102878848,12229.612017821035,1338.7277309422786,3021.6505899400227
5,5508.257847808729,8696.977339455936,3349.351038625578,5751.985903477,5683.6333401301645,51621.59247237024,3155.776077024437,668.7256638976269,25359.625985666633,7440.899939431143,42503.95887488139,27602.27235131726,4972.291818010081,1721.0875167851736,3935.4758391632245,2491.869271402344,31885.57800270279,949.3035499586512,719.0581494602444,592.5117307713699,408.75020090958463,792.6318076544545,10617.92036690693,7506.424023241746,14048.44363580003,5105.526880649164,5337.652015656613,3858.078951967874,10891.453444541716,1183.7492354696756,2777.1335827739003
6,4897.485972338821,8230.850221859238,3277.869969497007,5407.807077816076,5509.879306382576,46807.64371903355,3088.9606024986497,647.5144355453419,23190.914696990556,7173.462093196586,39520.71761652418,26558.33822691403,4552.165041732602,1596.2233669885704,3705.23233709832,2367.3639289527523,28140.325545930187,909.0417163495305,640.6945593697525,567.6112893783268,411.86870270063866,817.4567253774675,9906.824678516085,7258.497898487872,12425.352183690815,4739.506635139488,4838.7852471893075,3713.4855346203194,10829.627097669107,1110.2035616361131,2671.864421741997
